,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_clf__gamma,param_clf__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
114,4.742199993,0.683799982,0.987933333,0.999516667,16,0.5,rbf,"{'clf__gamma': 0.5, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",12,0.984666667,0.9995,0.989666667,0.999416667,0.989333333,0.9995,0.986666667,0.999583333,0.989333333,0.999583333,0.088411277,0.01445539,0.001959592,6.24E-05
115,7.295999956,1.03920002,0.986666667,0.999516667,16,1,rbf,"{'clf__gamma': 1.0, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",23,0.982,0.9995,0.989666667,0.999416667,0.987,0.9995,0.986333333,0.999583333,0.988333333,0.999583333,0.219120091,0.023051151,0.002599145,6.24E-05
116,37.80500002,2.416799974,0.9762,0.999516667,16,2,rbf,"{'clf__gamma': 2.0, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",46,0.970666667,0.9995,0.979666667,0.999416667,0.977,0.9995,0.975666667,0.999583333,0.978,0.999583333,0.506315746,0.190450363,0.003059412,6.24E-05
117,101.401,5.468199968,0.918066667,0.999516667,16,4,rbf,"{'clf__gamma': 4.0, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",75,0.918,0.9995,0.917666667,0.999416667,0.916666667,0.9995,0.919,0.999583333,0.919,0.999583333,0.695255328,0.113615882,0.000879394,6.24E-05
118,135.7808,5.436199999,0.904733333,0.999516667,16,8,rbf,"{'clf__gamma': 8.0, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",89,0.905333333,0.9995,0.905666667,0.999416667,0.904,0.9995,0.905333333,0.999583333,0.903333333,0.999583333,1.688730528,0.023894804,0.000904311,6.24E-05
119,147.6034,5.425199986,0.904266667,0.999516667,16,16,rbf,"{'clf__gamma': 16.0, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",94,0.904333333,0.9995,0.905333333,0.999416667,0.903666667,0.9995,0.904666667,0.999583333,0.903333333,0.999583333,3.365346656,0.022622128,0.000711805,6.24E-05
120,149.3404,5.421000004,0.904133333,0.999516667,16,32,rbf,"{'clf__gamma': 32.0, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",100,0.904333333,0.9995,0.905,0.999416667,0.903666667,0.9995,0.904333333,0.999583333,0.903333333,0.999583333,4.22597824,0.041429421,0.000581187,6.24E-05
121,3.138200092,0.423999977,0.988466667,0.99605,32,0.03125,rbf,"{'clf__gamma': 0.03125, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",1,0.984666667,0.996,0.991333333,0.996,0.989,0.996,0.987,0.996166667,0.990333333,0.996083333,0.035284017,0.008024884,0.002390723,6.67E-05
122,3.127000046,0.41239996,0.9876,0.998383333,32,0.0625,rbf,"{'clf__gamma': 0.0625, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",20,0.984666667,0.998583333,0.990333333,0.998333333,0.988333333,0.998333333,0.985666667,0.998583333,0.989,0.998083333,0.081228099,0.006468311,0.002112397,0.000187083
123,3.294399977,0.443400049,0.986533333,0.99925,32,0.125,rbf,"{'clf__gamma': 0.125, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",28,0.985,0.99925,0.988333333,0.999,0.987333333,0.99925,0.984666667,0.999333333,0.987333333,0.999416667,0.072204207,0.010725675,0.001439136,0.000139443
124,3.766600037,0.537599993,0.987666667,0.999516667,32,0.25,rbf,"{'clf__gamma': 0.25, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",19,0.985,0.9995,0.989333333,0.999416667,0.99,0.9995,0.985333333,0.999583333,0.988666667,0.999583333,0.093305056,0.007631515,0.002086997,6.24E-05
125,4.739399958,0.704400015,0.987933333,0.999516667,32,0.5,rbf,"{'clf__gamma': 0.5, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",12,0.984666667,0.9995,0.989666667,0.999416667,0.989333333,0.9995,0.986666667,0.999583333,0.989333333,0.999583333,0.060085315,0.033049106,0.001959592,6.24E-05
126,7.239800024,1.035599995,0.986666667,0.999516667,32,1,rbf,"{'clf__gamma': 1.0, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",23,0.982,0.9995,0.989666667,0.999416667,0.987,0.9995,0.986333333,0.999583333,0.988333333,0.999583333,0.091085448,0.050217908,0.002599145,6.24E-05
127,37.89220009,2.434999943,0.9762,0.999516667,32,2,rbf,"{'clf__gamma': 2.0, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",46,0.970666667,0.9995,0.979666667,0.999416667,0.977,0.9995,0.975666667,0.999583333,0.978,0.999583333,0.437318287,0.155760061,0.003059412,6.24E-05
128,102.342,5.502600002,0.918066667,0.999516667,32,4,rbf,"{'clf__gamma': 4.0, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",75,0.918,0.9995,0.917666667,0.999416667,0.916666667,0.9995,0.919,0.999583333,0.919,0.999583333,0.991166378,0.145861081,0.000879394,6.24E-05
129,137.3274,5.507000017,0.904733333,0.999516667,32,8,rbf,"{'clf__gamma': 8.0, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",89,0.905333333,0.9995,0.905666667,0.999416667,0.904,0.9995,0.905333333,0.999583333,0.903333333,0.999583333,1.705728231,0.060016711,0.000904311,6.24E-05
130,148.0058,5.456200027,0.904266667,0.999516667,32,16,rbf,"{'clf__gamma': 16.0, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",94,0.904333333,0.9995,0.905333333,0.999416667,0.903666667,0.9995,0.904666667,0.999583333,0.903333333,0.999583333,3.609744544,0.0789466,0.000711805,6.24E-05
131,146.0402,4.700599909,0.904133333,0.999516667,32,32,rbf,"{'clf__gamma': 32.0, 'clf__C': 32.0, 'clf__kernel': 'rbf'}",100,0.904333333,0.9995,0.905,0.999416667,0.903666667,0.9995,0.904333333,0.999583333,0.903333333,0.999583333,8.707560927,0.870113027,0.000581187,6.24E-05
